DATE,TIME,HPCP
19960121,13:00,0.01
19960121,14:00,0.01
19960121,15:00,0.01
19960124,13:00,0.37
19960124,14:00,0.08
19960124,15:00,0.01
19960127,10:00,0.11
19960127,11:00,0.05
19960127,12:00,0.11
19960127,13:00,0.02
19960127,14:00,0.19
19960127,15:00,0.03
19960127,18:00,0.01
19960129,13:00,0.03
19960129,14:00,0.04
19960129,15:00,0.02
19960129,16:00,0.04
19960129,17:00,0.03
19960129,18:00,0.02
19960129,19:00,0.01
19960129,21:00,0.01
19960130,23:00,0.02
19960131,0:00,0.04
19960131,1:00,0.01
19960131,5:00,0.01
19960131,6:00,0.02
19960131,7:00,0.03
19960131,8:00,0.03
19960131,9:00,0.01
19960131,10:00,0.04
19960131,12:00,0.01
19960201,1:00,0
19960202,3:00,0.02
19960202,4:00,0.04
19960202,6:00,0.04
19960202,7:00,0.05
19960202,8:00,0.04
19960202,9:00,0.2
19960202,10:00,0.08
19960202,11:00,0.07
19960202,12:00,0.06
19960202,13:00,0.06
19960202,14:00,0.03
19960202,15:00,0.03
19960202,16:00,0.01
19960203,1:00,0.06
19960203,2:00,0.04
19960203,3:00,0.04
19960203,4:00,0.04
19960203,5:00,0.02
19960203,11:00,0.01
19960203,12:00,0.01
19960203,18:00,0.01
19960203,19:00,0.01
19960204,2:00,0.01
19960204,3:00,0.03
19960204,4:00,0.05
19960204,5:00,0.14
19960204,6:00,0.1
19960204,7:00,0.03
19960204,10:00,0.02
19960204,11:00,0.03
19960208,4:00,0.03
19960208,23:00,0.08
19960209,0:00,0.08
19960209,1:00,0.01
19960215,4:00,0.01
19960215,5:00,0.01
19960215,9:00,0.01
19960216,5:00,0.02
19960216,6:00,0.07
19960216,7:00,0.04
19960216,8:00,0.05
19960216,9:00,0.06
19960216,10:00,0.03
19960216,11:00,0.05
19960216,17:00,0.05
19960216,18:00,0.05
19960216,19:00,0.06
19960216,20:00,0.07
19960216,21:00,0.05
19960216,22:00,0.02
19960216,23:00,0.02
19960217,0:00,0.01
19960220,15:00,0.01
19960220,17:00,0.02
19960220,18:00,0.03
19960220,19:00,0.04
19960220,20:00,0.02
19960220,21:00,0.02
19960220,22:00,0.03
19960220,23:00,0.15
19960221,0:00,0.09
19960221,1:00,0.02
19960221,2:00,0.05
19960221,3:00,0.02
19960222,20:00,0.05
19960222,21:00,0.02
19960223,2:00,0.01
19960223,6:00,0.19
19960223,7:00,0.01
19960301,1:00,0
19960301,22:00,0.02
19960301,23:00,0.06
19960302,0:00,0.06
19960302,1:00,0.04
19960302,2:00,0.01
19960302,3:00,0.05
19960302,4:00,0.06
19960302,5:00,0.07
19960302,6:00,0.02
19960302,7:00,0.04
19960306,10:00,0.07
19960306,11:00,0.05
19960306,12:00,0.04
19960306,13:00,0.02
19960306,14:00,0.08
19960306,15:00,0.01
19960306,18:00,0.03
19960307,9:00,0.01
19960307,10:00,0.06
19960307,11:00,0.04
19960307,12:00,0.05
19960307,13:00,0.04
19960307,14:00,0.01
19960307,16:00,0.03
19960307,17:00,0.01
19960307,18:00,0.06
19960307,19:00,0.02
19960307,23:00,0.01
19960308,0:00,0.04
19960308,1:00,0.03
19960308,2:00,0.03
19960308,3:00,0.02
19960308,4:00,0.03
19960315,15:00,0.23
19960315,21:00,0.01
19960317,1:00,0.01
19960317,2:00,0.1
19960317,3:00,0.28
19960317,4:00,0.09
19960317,5:00,0.05
19960317,6:00,0.01
19960319,5:00,0.01
19960319,6:00,0.02
19960319,14:00,0.16
19960322,2:00,0.01
19960322,3:00,0.01
19960328,5:00,0.01
19960328,6:00,0.01
19960328,7:00,0.01
19960328,8:00,0.07
19960328,9:00,0.1
19960328,10:00,0.09
19960328,11:00,0.06
19960328,12:00,0.1
19960328,13:00,0.17
19960328,14:00,0.19
19960328,16:00,0.06
19960328,17:00,0.07
19960328,18:00,0.03
19960328,21:00,0.01
19960328,22:00,0.02
19960328,23:00,0.01
19960329,1:00,0.01
19960331,15:00,0.03
19960331,16:00,0.01
19960331,21:00,0.03
19960331,22:00,0.01
19960331,23:00,0.02
19960401,1:00,0.02
19960401,2:00,0.03
19960401,4:00,0.04
19960401,5:00,0.12
19960401,6:00,0.07
19960401,7:00,0.23
19960401,8:00,0.01
19960401,9:00,0.04
19960401,10:00,0.03
19960401,11:00,0.01
19960401,14:00,0.01
19960402,0:00,0.01
19960402,1:00,0.01
19960402,2:00,0.01
19960406,13:00,0.02
19960406,14:00,0.03
19960406,15:00,0.1
19960406,16:00,0.09
19960406,17:00,0.12
19960406,18:00,0.1
19960406,19:00,0.12
19960406,20:00,0.1
19960406,21:00,0.05
19960406,22:00,0.06
19960406,23:00,0.04
19960407,0:00,0.01
19960408,23:00,0.02
19960409,0:00,0.06
19960409,1:00,0.06
19960409,2:00,0.18
19960409,4:00,0.01
19960409,5:00,0.2
19960409,6:00,0.14
19960409,7:00,0.05
19960409,8:00,0.03
19960409,15:00,0.01
19960416,1:00,0.24
19960416,2:00,1.06
19960416,3:00,0.16
19960416,4:00,0.11
19960416,8:00,0.06
19960419,16:00,0.01
19960420,21:00,0.03
19960423,22:00,0.07
19960423,23:00,0.15
19960424,0:00,0.05
19960426,16:00,0.03
19960426,17:00,0.05
19960429,16:00,0.01
19960430,11:00,0.09
19960430,12:00,0.24
19960430,13:00,0.06
19960430,14:00,0.13
19960430,15:00,0.01
19960430,16:00,0.07
19960430,17:00,0.03
19960430,18:00,0.02
19960430,19:00,0.01
19960501,0:00,0.01
19960501,1:00,0
19960506,1:00,0.1
19960506,2:00,0.14
19960506,3:00,0.03
19960506,4:00,0.02
19960507,4:00,0.01
19960507,5:00,0.03
19960507,6:00,0.02
19960507,9:00,0.11
19960507,10:00,0.12
19960507,11:00,0.23
19960507,12:00,0.16
19960507,13:00,0.14
19960507,14:00,0.03
19960507,15:00,0.06
19960507,16:00,0.02
19960507,17:00,0.03
19960507,18:00,0.01
19960507,20:00,0.01
19960508,5:00,0.01
19960508,6:00,0.02
19960509,9:00,0.01
19960511,20:00,0.06
19960512,0:00,0.02
19960515,19:00,0.03
19960515,20:00,0.05
19960515,21:00,0.04
19960515,22:00,0.01
19960515,23:00,0.01
19960516,0:00,0.01
19960516,1:00,0.04
19960516,2:00,0.04
